author,text,likeCount,publishedAt
@EasyGoer-e3z,During Career Nadal Been Bageled 15 Times With Djokovic Bageled 13 Times With Federer Bageled Only &quot;5&quot; Times....Federer Has Also a Combined &quot;4&quot; Bagels Against Nadal/Djokovic With Federer Only Being Bageled &quot;1&quot; Time and Was by Nadal....Also Fed Has NEVER Been Bageled on a Hard Court...Federer Was Such a Natural Talent,0,2024-10-19T18:18:49Z
@louishao2516,"why it&#39;s always raining during commencement speech,",0,2024-10-16T06:57:11Z
@andrewmellor5346,Superbly written and delivered only the way Roger can!,0,2024-10-16T02:45:34Z
@Roadrunnerz45,"who was that opponent that questioned his discipline? <a href=""https://www.youtube.com/watch?v=pqWUuYTcG-o&amp;t=395"">6:35</a> that made roger think and helped him become the player he became.",0,2024-10-14T10:27:55Z
@carmenlove78,❤🎉,0,2024-10-11T18:45:00Z
@preetipalbali2337,Roger it’s really one of the best talks I have heard ❤<br><br>All the three points are great 👍,0,2024-10-09T11:02:47Z
@aashminathkm7994,❤,0,2024-10-07T06:22:48Z
@VioletAnn-d5t,Turcotte Way,0,2024-10-04T01:05:11Z
@Push4Motivation,Best speech in 2024.,0,2024-10-03T14:35:42Z
@milesluning3031,Pure class,0,2024-10-03T02:04:42Z
@DarwinLawson-j4m,45675 Hermann Stravenue,0,2024-10-01T01:54:15Z
@GuntherKitty,6006 Keeling Plains,0,2024-10-01T00:29:08Z
@avisinha244,There will never be another roger federer ever again.,0,2024-09-27T10:27:41Z
@DavidMiller7,Fantastic delivery and content by Roger. I&#39;m sure the graduates will remember his points for many years to come. I especially loved the Dartmouth-specific references - like the size of Mass Row dorm rooms! I imagine these were inserted by his agent (a &#39;93?). He seemed to chuckle when he mentioned them as he likely was wondering exactly what they meant. Well done.,0,2024-09-26T14:57:13Z
@natashastanarevic7381,"very inspirational, thank you",0,2024-09-26T11:33:47Z
@aurelpintea333,What a wonderful speech.<br>But holly damn the noise in the background... couldn&#39;t one of the biggest leagues universities have it&#39;s events logistics better? Nothing new from the brits.,0,2024-09-26T09:30:18Z
@eduardmoser7280,Hammer!!!,0,2024-09-25T15:48:26Z
@НикитаДоскаль-и7и,"God, why I didn&#39;t find this channel earlier??? This is amazing place for everybody who interested about investments",0,2024-09-25T12:48:45Z
@tomasbravenec742,"You are a great Inspiration, Dr. Roger! And sooo humble.",0,2024-09-24T10:51:11Z
@ladakhissss,"Man look at the ease he is talking, same way he played tennis. I am sure he worked hard on the speech. That’s the discipline and effort he has put. It seems like many kids here do not know the significance.",0,2024-09-24T05:13:34Z
